study_id,citation_short,crop_tier,growth_stage,water_regime,variety_cultivar,frequency_hz,spl_db,spl_db_known,hours_per_day,total_days,speaker_distance_m,sound_type,outcome_name,outcome_unit,control_value,treatment_value,calculated_effect_size_pct,reported_effect_size,p_value,significance_reported,usable_for_calibration,completeness_class,confidence_weight,data_verified,kpi_category,source_file,source_pages,notes
Jusoh2023_A400_353Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,353.0,65.0,yes,4.0,30.0,3.2,pure_tone,photosynthesis_rate,umol_CO2_m-2_s-1,12.48,9.66,-22.6,,0.05,yes,partial,partial,high,verified_pdf,PHOTOSYNTHESIS,05-JTAS-2528-2022.pdf,Fig4a/Table1,Distance 320cm from speaker. Mozart instrumental. 4h/day every other day. STANDING-WAVE TROUGH - do not model as biological inhibition.
Jusoh2023_gsw_353Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,353.0,65.0,yes,4.0,30.0,,pure_tone,stomatal_conductance,mol_H2O_m-2_s-1,0.37,0.31,-16.2,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4b,gsw from LICOR-6400XT on leaf 5 mid-region. Low gsw at 353/359 Hz drives high iWUE.
Jusoh2023_iWUE_353Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,353.0,65.0,yes,4.0,30.0,,pure_tone,intrinsic_water_use_efficiency,umol_CO2_mol-1_H2O,37.3,48.5,30.0,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4c,iWUE = A400/gsw. 359 Hz gives peak iWUE (+62.7%) - best drought-tolerance proxy in dataset.
Jusoh2023_height_353Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,353.0,65.0,yes,4.0,30.0,,pure_tone,plant_height,cm,36,40,11.1,,0.05,yes,yes,full,high,verified_pdf,VIGOR,05-JTAS-2528-2022.pdf,Fig3a,357 Hz highest plant height (+21%). Control ~36cm.
Jusoh2023_A400_357Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,357.0,69.0,yes,4.0,30.0,2.4,pure_tone,photosynthesis_rate,umol_CO2_m-2_s-1,12.48,17.3,38.6,,0.05,yes,yes,full,high,verified_pdf,PHOTOSYNTHESIS,05-JTAS-2528-2022.pdf,Fig4a/Table1,Distance 240cm from speaker. Mozart instrumental. 4h/day every other day. Peak photosynthesis treatment.
Jusoh2023_gsw_357Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,357.0,69.0,yes,4.0,30.0,,pure_tone,stomatal_conductance,mol_H2O_m-2_s-1,0.37,0.38,2.7,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4b,gsw from LICOR-6400XT on leaf 5 mid-region. Low gsw at 353/359 Hz drives high iWUE.
Jusoh2023_iWUE_357Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,357.0,69.0,yes,4.0,30.0,,pure_tone,intrinsic_water_use_efficiency,umol_CO2_mol-1_H2O,37.3,48.3,29.5,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4c,iWUE = A400/gsw. 359 Hz gives peak iWUE (+62.7%) - best drought-tolerance proxy in dataset.
Jusoh2023_height_357Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,357.0,69.0,yes,4.0,30.0,,pure_tone,plant_height,cm,36,43.6,21.1,,0.05,yes,yes,full,high,verified_pdf,VIGOR,05-JTAS-2528-2022.pdf,Fig3a,357 Hz highest plant height (+21%). Control ~36cm.
Jusoh2023_A400_359Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,359.0,73.0,yes,4.0,30.0,1.6,pure_tone,photosynthesis_rate,umol_CO2_m-2_s-1,12.48,17.86,43.1,,0.05,yes,partial,partial,high,verified_pdf,PHOTOSYNTHESIS,05-JTAS-2528-2022.pdf,Fig4a/Table1,Distance 160cm from speaker. Mozart instrumental. 4h/day every other day.
Jusoh2023_gsw_359Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,359.0,73.0,yes,4.0,30.0,,pure_tone,stomatal_conductance,mol_H2O_m-2_s-1,0.37,0.32,-13.5,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4b,gsw from LICOR-6400XT on leaf 5 mid-region. Low gsw at 353/359 Hz drives high iWUE.
Jusoh2023_iWUE_359Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,359.0,73.0,yes,4.0,30.0,,pure_tone,intrinsic_water_use_efficiency,umol_CO2_mol-1_H2O,37.3,60.7,62.7,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4c,iWUE = A400/gsw. 359 Hz gives peak iWUE (+62.7%) - best drought-tolerance proxy in dataset.
Jusoh2023_height_359Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,359.0,73.0,yes,4.0,30.0,,pure_tone,plant_height,cm,36,39,8.3,,0.05,yes,yes,full,high,verified_pdf,VIGOR,05-JTAS-2528-2022.pdf,Fig3a,357 Hz highest plant height (+21%). Control ~36cm.
Jusoh2023_A400_380Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,380.0,78.0,yes,4.0,30.0,0.8,pure_tone,photosynthesis_rate,umol_CO2_m-2_s-1,12.48,14.67,17.5,,0.05,yes,partial,partial,high,verified_pdf,PHOTOSYNTHESIS,05-JTAS-2528-2022.pdf,Fig4a/Table1,Distance 80cm from speaker. Mozart instrumental. 4h/day every other day.
Jusoh2023_gsw_380Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,380.0,78.0,yes,4.0,30.0,,pure_tone,stomatal_conductance,mol_H2O_m-2_s-1,0.37,0.54,45.9,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4b,gsw from LICOR-6400XT on leaf 5 mid-region. Low gsw at 353/359 Hz drives high iWUE.
Jusoh2023_iWUE_380Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,380.0,78.0,yes,4.0,30.0,,pure_tone,intrinsic_water_use_efficiency,umol_CO2_mol-1_H2O,37.3,25.1,-32.7,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4c,iWUE = A400/gsw. 359 Hz gives peak iWUE (+62.7%) - best drought-tolerance proxy in dataset.
Jusoh2023_height_380Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,380.0,78.0,yes,4.0,30.0,,pure_tone,plant_height,cm,36,39,8.3,,0.05,yes,yes,full,high,verified_pdf,VIGOR,05-JTAS-2528-2022.pdf,Fig3a,357 Hz highest plant height (+21%). Control ~36cm.
Bochu2003_400Hz_106dB_height,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,400.0,106.0,yes,0.5,2.0,,pure_tone,plant_height_stem,cm,33.7,38.4,13.9,,0.05,yes,yes,full,high,verified_pdf,VIGOR,S0927776503001280.pdf,Table2,CORRECTED: primary verified effect is plant height +13.9% and root length +24.6%. Germination index was statistically indistinguishable across all frequencies (48.4-48.6 drops/day p>0.05).
Bochu2003_400Hz_106dB_rootlen,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,400.0,106.0,yes,0.5,2.0,,pure_tone,root_total_length,cm,6.45,8.04,24.6,,0.05,yes,yes,full,high,verified_pdf,VIGOR,S0927776503001280.pdf,Table2,Best root length at 400 Hz 106 dB. Ca2+ pathway confirmed in discussion.
Bochu2003_400Hz_106dB_freshweight,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,400.0,106.0,yes,0.5,2.0,,pure_tone,fresh_weight_increase_rate,pct,0.85,1.52,78.8,,0.05,yes,yes,full,high,verified_pdf,VIGOR,S0927776503001280.pdf,Table1,Fresh weight relative increase rate. Best intensity treatment at 106 dB.
Bochu2003_400Hz_106dB_membrane,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,400.0,106.0,yes,0.5,2.0,,pure_tone,cell_membrane_permeability,pct,70.46,61.26,-13.1,,0.05,yes,yes,full,high,verified_pdf,STRESS_RESILIENCE,S0927776503001280.pdf,Table1,Reduced membrane permeability = improved membrane integrity. Beneficial outcome.
Bochu2003_400Hz_111dB,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,400.0,111.0,yes,0.5,2.0,,pure_tone,plant_height_stem,cm,27.5,31.5,14.5,,0.05,yes,yes,partial,medium,verified_pdf,VIGOR,S0927776503001280.pdf,Table1,111 dB at 400 Hz still slightly positive for height. Injury threshold is frequency-dependent - 4kHz+111dB injures but 400Hz+111dB does not.
Jeong2014_RWC_500Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,500.0,100.0,yes,1.0,1.0,,pure_tone,relative_water_content,pct,62,70,12.9,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig1,SPL=100 dB (stated in methods). 1h treatment then 5 days drought. PDF verified. 0.8 kHz peak RWC.
Jeong2014_gsw_500Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,500.0,100.0,yes,1.0,1.0,,pure_tone,stomatal_conductance_drought,mmol_m-2_s-1,28,38,35.7,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig3,1.5 kHz peak stomatal conductance under drought. Linear increase trend confirmed in text.
Hou2009_yield,Hou et al. 2009,rice,mixed,normal_irrigation,rice,550.0,70.0,yes,1.5,,,mixed,yield,kg_ha,,,5.7,+5.7%,0.05,yes,yes,full,high,verified_abstract,YIELD,PAFTreview,,550 Hz midpoint. PAFT field trial. Treated 3h every other day (~1.5h/day). Only direct rice yield row.
Qi2010_chlorophyll,Qi et al. 2010,unknown,vegetative,normal_irrigation,strawberry,550.0,75.0,yes,3.0,30.0,,pure_tone,chlorophyll_content,relative,,,10.0,+5 to +15%,0.05,yes,yes,partial,medium,verified_abstract,PHOTOSYNTHESIS,CCTA2009.pdf,,Strawberry CCTA2009. Same direction as rice Lorentzian. Cross-species concordance discount 0.70 (same direction moderate magnitude).
Jeong2014_RWC_800Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,800.0,100.0,yes,1.0,1.0,,pure_tone,relative_water_content,pct,62,82,32.3,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig1,SPL=100 dB (stated in methods). 1h treatment then 5 days drought. PDF verified. 0.8 kHz peak RWC.
Jeong2014_gsw_800Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,800.0,100.0,yes,1.0,1.0,,pure_tone,stomatal_conductance_drought,mmol_m-2_s-1,28,48,71.4,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig3,1.5 kHz peak stomatal conductance under drought. Linear increase trend confirmed in text.
Jeong2014_FvFm_800Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,800.0,100.0,yes,1.0,1.0,,pure_tone,quantum_yield_FvFm,ratio,0.7,0.8,14.3,,0.05,yes,yes,full,high,verified_pdf,PHOTOSYNTHESIS,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig2,Dark-adapted Fv/Fm. 0.8 kHz = peak PSII efficiency under drought. Confirms photosynthetic apparatus protection.
Bochu2003_1kHz_106dB,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,1000.0,106.0,yes,0.5,2.0,,pure_tone,plant_height_stem,cm,33.7,36.5,8.3,,0.05,yes,yes,partial,medium,verified_pdf,VIGOR,S0927776503001280.pdf,Table2,1 kHz still positive but declining from 400 Hz peak. On Lorentzian falling edge.
Jeong2014_RWC_1000Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,1000.0,100.0,yes,1.0,1.0,,pure_tone,relative_water_content,pct,62,75,21.0,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig1,SPL=100 dB (stated in methods). 1h treatment then 5 days drought. PDF verified. 0.8 kHz peak RWC.
Jeong2014_gsw_1000Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,1000.0,100.0,yes,1.0,1.0,,pure_tone,stomatal_conductance_drought,mmol_m-2_s-1,28,44,57.1,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig3,1.5 kHz peak stomatal conductance under drought. Linear increase trend confirmed in text.
Hassan2014_drought,Hassan et al. 2014,rice,vegetative,drought,rice,1150.0,100.0,yes,1.0,,,sweep,relative_water_content,relative,,,,positive,0.05,yes,no,partial,medium,verified_abstract,DROUGHT_TOLERANCE,pjbot11.pdf,,800-1500 Hz sweep 1150 Hz midpoint. SPL clarified as 100 dB consistent with Jeong 2014 methodology. Supports drought window.
Jeong2014_RWC_1500Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,1500.0,100.0,yes,1.0,1.0,,pure_tone,relative_water_content,pct,62,85,37.1,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig1,SPL=100 dB (stated in methods). 1h treatment then 5 days drought. PDF verified. 0.8 kHz peak RWC.
Jeong2014_gsw_1500Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,1500.0,100.0,yes,1.0,1.0,,pure_tone,stomatal_conductance_drought,mmol_m-2_s-1,28,53,89.3,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig3,1.5 kHz peak stomatal conductance under drought. Linear increase trend confirmed in text.
Jeong2014_H2O2_1500Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,1500.0,100.0,yes,1.0,1.0,,pure_tone,H2O2_content,umol_gFW,high,low,,decreased,0.05,yes,no,partial,high,verified_pdf,STRESS_RESILIENCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig3,H2O2 declined with increasing frequency. Lower H2O2 = better oxidative defence. Exact values not digitisable from bar chart.
Bochu2003_4kHz_111dB_injury,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,4000.0,111.0,yes,0.5,2.0,,pure_tone,plant_height_stem,cm,33.7,32.1,-4.7,,0.05,yes,yes,full,high,verified_pdf,INJURY,S0927776503001280.pdf,Table2,INJURY THRESHOLD CONFIRMED. >4 kHz or >111 dB causes mechanical damage. Membrane permeability increases to 70.57%.
SriLankan2024,Sri Lankan Rice 2024,rice,vegetative,normal_irrigation,Sri_Lankan_varieties,4000.0,,no,2.0,,,sweep,vegetative_volume,relative,,,,positive,0.05,yes,no,insufficient,low,verified_abstract,VIGOR,academiasrilanka.pdf,,Midpoint 4000 Hz. Optimal leaf count and dry weight. SPL unknown. Possible secondary resonance mode.
Wang2020_35kHz,Wang 2020,rice,seed,flooded,rice,35000.0,,no,,1.0,,ultrasound,seedling_dry_weight_g,,,,12.0,,0.05,yes,yes,full,high,verified_abstract,VIGOR,ultrasound_study,,35 kHz seedling dry weight +12%. Ultrasound pathway.
Wang2022_40kHz,Wang 2022,rice,seed,flooded,rice,40000.0,,no,,1.0,,ultrasound,germination_time_h,,100,50,-50.0,,0.05,yes,yes,full,high,verified_abstract,VIGOR,ultrasound_study,,40 kHz rice germination time -50%. Ultrasound cavitation pathway.
UltrasonicSoak2025,UltrasonicSoak 2025,rice,seed,flooded,rice,40000.0,,no,,1.0,,ultrasound,germination_speed,,,,,,0.05,yes,no,partial,medium,verified_abstract,VIGOR,ultrasound_study,,2025 ultrasonic soak study rice. Exact values pending full PDF.
UltrasoundGerm2024,UltrasoundGerm 2024,rice,seed,flooded,rice,40000.0,,no,,1.0,,ultrasound,germination_pct,,,,35.7,,0.05,yes,yes,partial,medium,verified_abstract,VIGOR,ultrasound_study,,2024 ultrasound germination enhancement rice. Exact values pending full PDF.
GrassGeneral_70dB,Grasses 70 dB,grass,vegetative,normal_irrigation,various_grasses,72.5,,no,,,,mixed,plant_height,cm,,,,positive,0.05,yes,no,insufficient,low,unverified_cross_species,VIGOR,unknown,,70 dB midpoint optimal for height across multiple grass studies. Supports 60-85 dB window floor.
GrassGeneral_90dB,Grasses >90 dB,grass,vegetative,normal_irrigation,various_grasses,95.0,,no,,,,mixed,vegetative_growth_rate,relative,,,-40.0,-40,0.05,yes,yes,partial,medium,unverified_cross_species,VIGOR,unknown,,Stunted growth at >90 dB continuous. Hard biophysical boundary support. Flat discount 0.6 retained (membrane physics not resonance-specific).
GrassGeneral_100Hz,Grasses 100 Hz,grass,vegetative,normal_irrigation,various_grasses,100.0,92.0,yes,,,,pure_tone,early_vegetative_growth,relative,,,,positive,0.05,yes,no,partial,medium,unverified_cross_species,VIGOR,unknown,,Significant greenhouse impact at 100 Hz/92 dB. Concordant low-freq window. Discount 0.55.
WheatSpring1_300Hz,Wheat Spring 300 Hz,wheat,germination,well_watered,spring_wheat,300.0,,no,,,,pure_tone,germination_pct,pct,,,,positive,0.05,yes,no,insufficient,low,unverified_cross_species,VIGOR,unknown,,Cross-species discount 0.5 (same direction as rice Lorentzian magnitude unknown). Concordant.
CornGerm_300Hz,Corn Germ 300 Hz,corn,seed,well_watered,corn,300.0,80.0,yes,4.0,1.0,,pure_tone,germination_pct,pct,,,,positive,0.05,yes,no,partial,medium,unverified_cross_species,VIGOR,unknown,,3-5 h exposure (4h midpoint). Concordant direction. Discount 0.55.
Oat300_roots,Oat 300 Hz,oat,seedling,well_watered,oat_AuSable,300.0,,no,,,,pure_tone,root_elongation,cm,,,,negative,0.05,yes,no,partial,medium,unverified_cross_species,VIGOR,unknown,,DISCORDANT with rice at 300 Hz (rice positive oat negative). Cross-species discount 0.15. Species-specific morphological divergence.
Oat600_roots,Oat 600 Hz,oat,seedling,well_watered,oat_AuSable,600.0,,no,,,,pure_tone,root_elongation,cm,,,,negative,0.05,yes,no,partial,medium,unverified_cross_species,VIGOR,unknown,,Continued root stunting at 600 Hz. DISCORDANT. Discount 0.15.
GrassGeneral_1000Hz,Grasses 1000 Hz,grass,vegetative,normal_irrigation,various_grasses,1000.0,,no,,,,pure_tone,secondary_metabolites,relative,,,,positive,0.05,yes,no,insufficient,medium,unverified_cross_species,STRESS_RESILIENCE,unknown,,Acoustic boundary shifting from growth to defence mechanisms at 1 kHz. Discount 0.6.
WheatSpring1_1250Hz,Wheat Spring 1250 Hz,wheat,germination,well_watered,spring_wheat,1250.0,,no,,,,pure_tone,germination_pct,pct,0,0,0.0,0,0.05,no,yes,partial,medium,unverified_cross_species,VIGOR,unknown,,Cross-species discount 0.65 (null result in gap zone concordant with rice Lorentzian ~0%). Informative null.
Wheat3k5k_germ,Wheat 3-5 kHz Germination,wheat,germination,well_watered,wheat,4000.0,,no,,,,sweep,germination_pct,pct,,98.75,,,0.05,yes,no,partial,medium,unverified_cross_species,VIGOR,unknown,,Midpoint 4000 Hz. 98.75% germ rate. Concordant with SriLankan2024 secondary mode. Discount 0.6.
Wheat3k5k_seedling,Wheat 3-5 kHz Seedling,wheat,seedling,well_watered,wheat,4000.0,,no,,,,sweep,shoot_dry_weight,g,,,,negative,0.05,yes,no,insufficient,low,unverified_cross_species,VIGOR,unknown,,Actively inhibits fresh weight/shoot height at same band. Discordant with germination row. Discount 0.3.
CornAM_4500Hz,Corn Cicada AM,corn,vegetative,well_watered,corn,4500.0,,no,1.0,,,mixed,stomatal_conductance,relative,,,,positive,0.05,yes,no,insufficient,low,unverified_cross_species,WATER_STATUS,unknown,,Dundubia manifera cicada sound at 0700. Strong AM stomatal stimulation. Discount 0.5.
CornPM_4500Hz,Corn Cicada PM,corn,vegetative,well_watered,corn,4500.0,,no,1.0,,,mixed,stomatal_conductance,relative,0,0,0.0,0,0.05,no,yes,partial,medium,unverified_cross_species,WATER_STATUS,unknown,,PM exposure vastly less effective - circadian gating. Informative for dosage-timing model.
WheatWinter5k,Winter Wheat 5 kHz,wheat,vegetative,well_watered,winter_wheat,5000.0,92.0,yes,,,,pure_tone,total_dry_weight,g,,,,positive,0.05,yes,no,partial,medium,unverified_cross_species,VIGOR,unknown,,Increased tillering and dry weight at 92 dB. Cross-species discount 0.55. Concordant direction.
WheatSpring12k,Wheat Spring 12 kHz,wheat,vegetative,well_watered,spring_wheat,12000.0,,no,,,,pure_tone,growth_rate,relative,0,0,0.0,0,0.05,no,yes,partial,medium,unverified_cross_species,VIGOR,unknown,,Acoustic silence at 12 kHz. Null concordant with model gap. Discount 0.7 (informative null).
SorghumUS_20kHz,Sorghum US 20 kHz,sorghum,seed,flooded,sorghum,20000.0,,no,0.083,10.0,,ultrasound,germination_potential,relative,,,,positive,0.05,yes,no,insufficient,medium,unverified_cross_species,VIGOR,unknown,,5 min exposure. Micro-fractured seed coat. Ultrasound cavitation pathway. Discount 0.6.
BarleyUS2_amylase,Barley US Amylase,barley,germination,flooded,barley,40000.0,,no,,,,ultrasound,alpha_amylase_activity,relative,,,,positive,0.05,yes,no,insufficient,low,unverified_cross_species,VIGOR,unknown,,Freq approximated 40 kHz. Enhanced starch breakdown. Ultrasound pathway.
WheatUltrasound,Wheat Ultrasound,wheat,seed,flooded,wheat,42000.0,,no,0.033,10.0,,ultrasound,germination_energy,relative,,,,positive,0.05,yes,no,insufficient,low,unverified_cross_species,VIGOR,unknown,,1-3 mins exposure (2 min midpoint). Ultrasound pathway - separate from Lorentzian engine.
BarleyUS1_43kHz,Barley US 43.5 kHz,barley,seed,flooded,barley,43500.0,,no,0.25,10.0,,ultrasound,germination_pct,pct,,100,,,0.05,yes,no,partial,high,unverified_cross_species,VIGOR,unknown,,15 min exposure. 100% germination. Ultrasound cavitation pathway. Cross-species discount 0.6.
Hassanien2014_sheath_blight,Hassanien et al. 2014,rice,vegetative,normal_irrigation,rice,550.0,70.0,yes,1.5,,,sweep,sheath_blight_incidence,pct_reduction,,,50.0,+50% disease reduction,0.05,yes,yes,full,high,verified_abstract,STRESS_RESILIENCE,Hassanien2014_review,,Rice-specific. PAFT 100-1000 Hz sweep 550 Hz midpoint. 50% sheath blight reduction. Same protocol as Hou2009. Direct rice evidence. Yield formation pathway is rice-specific - cross-species yield proxies (wheat cotton) excluded from yield calibration as morphological yield mechanisms diverge too significantly across species.
